type,loc,sqm,lvl,nbed,nbath,year,price
Μονοκατοικία,Καστέλα,173,0,5,3,1965,400000
Διαμέρισμα,Μανιάτικα,65,1,2,1,2010,100000
Διαμέρισμα,Ευαγγελίστρια,103,2,2,1,1980,180000
Διαμέρισμα,Νέο Φάληρο,87,2,3,1,1982,150000
Μονοκατοικία,Υδραίικα,102,0,2,1,1991,200000
Διαμέρισμα,Καμίνια,47,6,1,1,2008,75000
Διαμέρισμα,Ευαγγελίστρια,76,6,1,1,1978,130000
Διαμέρισμα,Ταμπούρια,90,2,2,1,1983,85000
Διαμέρισμα,Φρεαττύδα,130,5,3,1,1991,330000
Διαμέρισμα,Καλλίπολη,130,3,2,1,1984,280000
Διαμέρισμα,Βρυώνη,80,8,1,1,1960,450000
Κτίριο,Ευαγγελίστρια,1450,0,20,12,1980,2900000
Μονοκατοικία,Καλλίπολη,102,0,2,1,1991,200000
Διαμέρισμα,Φρεαττύδα,86,4,2,1,1990,185000
Διαμέρισμα,Ταμπούρια,73,0,2,1,1977,70000
Διαμέρισμα,Κοκκινιά,88,3,2,1,1989,95000
Διαμέρισμα,Πειραϊκή,125,5,3,1,2016,410000
Μονοκατοικία,Ταμπούρια,80,0,1,1,1955,95000
Διαμέρισμα,Μανιάτικα,107,0,2,1,1969,69000
Διαμέρισμα,Αγία Σοφία,68,1,1,1,2021,110000
Διαμέρισμα,Ταμπούρια,112,2,3,1,2004,175000
Διαμέρισμα,Καλλίπολη,160,3,3,1,1987,330000
Διαμέρισμα,Καμίνια,58,3,1,1,1992,67000
Διαμέρισμα,Ζωοδόχος Πηγή,91,1,2,1,1973,85000
Κτίριο,Καστέλα,280,0,4,4,1970,400000
Διαμέρισμα,Καλλίπολη,123,6,3,2,1997,600000
Διαμέρισμα,Νέο Φάληρο,73,5,2,1,1980,105000
Διαμέρισμα,Φρεαττύδα,49,Υπερυψωμένο,1,1,1970,75000
Διαμέρισμα,Βρυώνη,33,5,1,1,1975,52000
